,train
10,"[174, 5414, 804, 212, 7151, 467, 1060, 3624, 3515, 1831, 321, 1158, 9263, 4215, 267, 4274, 461, 719, 5716, 7853, 8618, 6870, 1022, 1519, 1350, 288, 861, 3285, 404, 8351, 497, 1092, 1927, 800, 190, 47, 668, 421, 290, 130, 45, 616, 28, 587, 43, 587, 47, 587, 55, 2090, 2758, 2506, 2403, 1710, 2506, 4727, 179, 306, 2793, 1837, 197, 1884, 1142, 185, 306, 2305, 410, 190, 809, 449, 407, 7733, 2666, 197, 809, 720, 7467, 467, 4581, 367, 3971, 2356, 2745, 1502, 293, 5958, 272, 1778, 2063, 295, 845, 4506, 7396, 898, 2554, 3591, 2793, 3073, 3778, 7617, 5453, 5564, 8245, 1162, 4579, 1015, 421, 2777, 276, 4275, 5802, 1886, 434, 430, 9212, 7850, 6982, 397, 505, 3295, 3431, 3073, 273, 3591, 367, 2721, 1073, 2758, 1758, 272, 4959, 273, 4106, 2721, 7800, 990, 1831, 440, 2031, 2160, 1073, 3553, 224, 1519, 939, 2474, 775, 363, 195, 3590, 1073, 305, 197, 3242, 6495, 192, 1939, 927, 2401, 434, 6366, 317, 6655, 2592, 2125, 2207, 8733]"
11,"[1554, 280, 2270, 34, 549, 3946, 40, 526, 8199, 1321, 34, 146, 2897, 852, 3617, 1488, 7073, 2912, 2019, 1135, 373, 707, 46, 1119, 2556, 549, 2244, 7293, 549, 2244, 2912, 549, 1540, 175, 6093, 4024, 1668, 1000, 268, 45, 340, 1504, 6770, 1903, 2232, 3138, 2081, 2912, 280, 342, 156, 2093, 45, 1451, 28, 1343, 43, 1343, 47, 1343, 55, 7440, 4439, 373, 9095, 2844, 7329, 4439, 563, 530, 373, 3400, 625, 3287, 38, 1117, 530, 2725, 42, 526, 770, 243, 2014, 526, 4647, 2539, 43, 770, 5521, 3986, 3462, 7812, 3221, 329, 2804, 652, 34, 1232, 5259, 37, 346, 419, 3003, 38, 6324, 3681, 1577, 1151, 3083, 2863, 8001, 486, 4509, 243, 730, 4904, 482, 1639, 3884, 1622, 1737, 1232, 2034, 1151, 1717, 758, 346, 340, 707, 9861, 5842, 329, 4447, 9154, 3492, 7794, 2034, 593, 3048, 885, 5254, 2321, 563, 625, 346, 730, 3560, 329, 1244, 648, 4187, 37, 625, 340, 563, 373, 782, 3560, 329, 419, 2355, 42, 2606, 7108, 2380, 3128, 49, 1244, 7325, 33, 1469, 218, 3920, 4987, 26, 1469, 4128, 4946, 7666, 1245, 4444, 7349, 3530, 2556, 139, 1842, 1461, 328, 3000, 7892, 35, 424, 39, 5105, 3861, 1761]"
12,"[1554, 282, 1002, 5583, 551, 3517, 40, 525, 8201, 1323, 34, 147, 3156, 853, 3679, 1537, 7075, 2714, 2025, 1140, 376, 709, 46, 1118, 2468, 551, 2248, 7297, 551, 2248, 2714, 551, 1542, 8671, 3840, 1670, 1002, 270, 45, 343, 1516, 7383, 1902, 2234, 3137, 2039, 2714, 282, 214, 6929, 982, 45, 4946, 1347, 43, 1347, 47, 1347, 55, 7442, 4440, 376, 9097, 2843, 7331, 4440, 562, 532, 376, 3402, 631, 3289, 38, 1155, 532, 2726, 42, 525, 772, 245, 2012, 525, 4649, 2541, 43, 772, 5525, 3987, 3461, 7813, 3220, 331, 2610, 654, 34, 1256, 5260, 37, 349, 352, 3000, 38, 6325, 3680, 1579, 1178, 3085, 2901, 8003, 488, 4508, 245, 729, 4905, 481, 1641, 3886, 1623, 1739, 1256, 2035, 1178, 1719, 757, 349, 343, 709, 28, 631, 5841, 331, 4450, 9153, 3496, 7795, 2035, 595, 3047, 886, 5255, 2391, 562, 631, 349, 729, 3561, 331, 1276, 649, 4188, 37, 631, 343, 562, 376, 781, 3561, 331, 352, 2255, 42, 2608, 6536, 2379, 3129, 49, 1276, 5643, 3583, 1471, 220, 3583, 4989, 26, 1471, 4129, 5601, 7668, 1246, 4443, 7351, 3520, 2468, 1864, 331, 1463, 476, 982, 7885, 35, 425, 39, 5107, 3863, 1762]"
13,"[174, 5486, 840, 8037, 6754, 439, 4108, 840, 589, 339, 1944, 623, 1374, 9848, 4886, 272, 9298, 566, 3218, 5660, 2454, 5660, 1798, 2981, 1644, 7170, 1633, 973, 1408, 318, 868, 3281, 505, 420, 836, 735, 1128, 1924, 808, 439, 35, 668, 468, 6706, 33, 616, 16, 587, 31, 587, 35, 587, 43, 2090, 4502, 2507, 5803, 2166, 2507, 450, 624, 249, 353, 2794, 1950, 1750, 366, 1731, 339, 353, 2366, 624, 439, 810, 452, 410, 7799, 2736, 264, 810, 719, 7468, 711, 4613, 366, 3809, 2621, 2744, 2895, 517, 5957, 420, 2092, 2705, 450, 846, 4505, 9061, 897, 2552, 3248, 2794, 4049, 372, 3704, 366, 5487, 5565, 8247, 2083, 4507, 1022, 468, 4328, 293, 5379, 1184, 646, 4319, 836, 590, 7444, 2206, 7851, 6764, 406, 839, 5478, 4363, 4049, 330, 3248, 366, 4492, 1162, 4502, 1757, 420, 5470, 330, 295, 3796, 353, 7802, 1448, 1944, 472, 2088, 2199, 1162, 3554, 548, 973, 1223, 2488, 774, 1380, 224, 3781, 1162, 923, 4819, 611, 4847, 226, 2192, 1644, 8091, 836, 9864, 326, 130, 5185, 5354, 3616, 2953, 35, 717]"
14,"[174, 5411, 806, 199, 7138, 448, 1058, 3628, 317, 1816, 422, 279, 1159, 9262, 4213, 307, 4278, 462, 720, 5715, 7852, 8617, 6868, 1015, 1522, 1352, 302, 978, 3358, 405, 7292, 437, 847, 1941, 801, 186, 59, 668, 422, 6713, 57, 616, 40, 587, 55, 587, 59, 587, 67, 2090, 3379, 2508, 2404, 1723, 2508, 4823, 180, 319, 1709, 2252, 203, 1656, 1066, 181, 319, 5223, 407, 5759, 223, 485, 436, 7729, 2668, 1236, 2589, 3894, 2315, 9402, 3960, 2358, 2261, 1271, 276, 3329, 267, 1779, 2065, 296, 4877, 448, 7397, 1031, 2626, 3337, 1709, 2835, 3933, 4559, 5456, 5566, 8629, 1073, 4172, 1070, 422, 2840, 313, 4279, 5071, 1919, 435, 431, 9211, 8256, 6702, 398, 404, 3646, 3365, 2835, 277, 319, 4923, 2722, 1074, 3379, 1756, 267, 5081, 277, 3023, 2722, 7801, 991, 9751, 2181, 1524, 1074, 3552, 195, 1522, 940, 2472, 776, 193, 196, 4830, 1074, 182, 3701, 464, 4747, 198, 1940, 928, 2365, 435, 6373, 327, 6654, 2547, 2129, 2216, 8744]"
15,"[174, 5155, 818, 200, 7129, 460, 194, 1489, 818, 327, 837, 871, 1879, 160, 9255, 4214, 73, 1781, 292, 529, 71, 151, 5718, 7865, 8574, 6863, 1070, 647, 1420, 427, 1499, 81, 8848, 6381, 442, 1575, 4088, 151, 913, 668, 1588, 6923, 69, 616, 52, 587, 67, 587, 71, 587, 79, 2090, 325, 2341, 585, 2285, 2114, 6650, 4185, 225, 2286, 2173, 9491, 547, 1075, 184, 3801, 8447, 913, 209, 2720, 748, 7730, 2708, 752, 209, 747, 7454, 460, 3593, 5125, 7238, 4934, 656, 1272, 313, 78, 690, 6913, 168, 2067, 1755, 5970, 460, 7423, 1914, 3324, 1200, 1781, 547, 2763, 355, 2292, 734, 5634, 5557, 8225, 1074, 4879, 150, 1588, 431, 4277, 630, 292, 5073, 196, 3576, 506, 9231, 7816, 4879, 597, 6739, 1693, 585, 2763, 379, 1200, 734, 355, 6382, 160, 325, 1725, 734, 307, 4394, 2341, 815, 355, 6382, 168, 1977, 3120, 7732, 667, 4063, 2158, 3547, 196, 647, 1034, 2368, 790, 9385, 871, 2158, 4461, 1443, 5296, 715, 163, 5742, 180, 6381, 6917, 9603, 1975, 2667, 2465, 2871, 8754]"
16,"[1554, 281, 2271, 34, 550, 3947, 40, 527, 8200, 1322, 34, 148, 2898, 854, 3618, 1538, 7074, 2913, 2022, 1139, 377, 708, 46, 1120, 2557, 550, 2246, 7295, 550, 2246, 2913, 550, 1541, 176, 6094, 4025, 1669, 1001, 269, 45, 347, 1515, 6771, 1904, 2233, 3139, 2080, 2913, 281, 1605, 54, 6928, 983, 45, 1457, 28, 1346, 43, 1346, 47, 1346, 55, 7441, 4441, 377, 9096, 2845, 7332, 4441, 564, 531, 377, 3401, 632, 3288, 38, 1156, 531, 2727, 42, 527, 771, 244, 2016, 527, 4648, 2540, 43, 771, 5523, 3988, 3463, 7814, 3222, 332, 2803, 653, 34, 1257, 5261, 37, 350, 417, 3001, 38, 6326, 3682, 1578, 1177, 3084, 2864, 8004, 492, 4510, 244, 731, 4906, 483, 1640, 3885, 1624, 1738, 1257, 2036, 1177, 1718, 759, 350, 347, 708, 9862, 5843, 332, 4448, 9155, 3494, 7796, 2036, 594, 3049, 887, 5256, 2350, 564, 632, 350, 731, 3562, 332, 1277, 650, 4189, 37, 632, 347, 564, 377, 783, 3562, 332, 417, 2353, 42, 2607, 6537, 2381, 3130, 49, 1277, 7326, 33, 1470, 219, 3921, 4988, 26, 1470, 4130, 5602, 7667, 1247, 4445, 7350, 3528, 2557, 140, 1843, 1462, 741, 46, 983, 7890, 35, 423, 39, 5103, 3859, 1760]"
17,"[1554, 283, 2272, 34, 552, 3948, 40, 528, 8202, 1324, 34, 149, 2899, 855, 3619, 1539, 7076, 2914, 2028, 1141, 378, 710, 46, 1121, 2558, 552, 2250, 7299, 552, 2250, 2914, 552, 1543, 178, 6095, 4026, 1671, 1003, 271, 45, 348, 1517, 6772, 1905, 2235, 3140, 2082, 2914, 283, 1606, 54, 6931, 984, 45, 1458, 28, 1348, 43, 1348, 47, 1348, 55, 7443, 4442, 378, 9098, 2846, 7333, 4442, 565, 533, 378, 3403, 633, 3290, 38, 1157, 533, 2728, 42, 528, 773, 246, 2018, 528, 4650, 2542, 43, 773, 5527, 3989, 3464, 7815, 3223, 333, 2805, 655, 34, 1258, 5262, 37, 351, 418, 3002, 38, 6327, 3683, 1580, 1179, 3086, 2865, 8005, 493, 4511, 246, 732, 4907, 484, 1642, 3887, 1625, 1740, 1258, 2037, 1179, 1720, 760, 351, 348, 710, 9863, 5844, 333, 4452, 9156, 3498, 7797, 2037, 596, 3050, 888, 5257, 2351, 565, 633, 351, 732, 3563, 333, 1278, 651, 4190, 37, 633, 348, 565, 378, 784, 3563, 333, 418, 2354, 42, 2609, 6538, 2382, 3131, 49, 1278, 7327, 33, 1472, 221, 3922, 4990, 26, 1472, 4131, 5603, 7669, 1248, 4446, 7352, 3532, 2558, 142, 1844, 1464, 742, 46, 984, 7891, 35, 426, 39, 5109, 3865, 1763]"
18,"[174, 264, 8142, 7185, 993, 312, 463, 404, 2201, 421, 1158, 2721, 7276, 3073, 1814, 470, 3073, 1030, 6700, 456, 5562, 2976, 842, 318, 2087, 463, 293, 5241, 295, 1710, 421, 323, 288, 437, 4579, 3509, 353, 1124, 318, 6448, 421, 293, 4951, 2162, 278, 5948, 5445, 9750, 430, 1025, 1350, 264, 7825, 2879, 4288, 401, 431, 289, 1723, 367, 275, 4103, 3584, 401, 296, 1086, 275, 925, 367, 497, 2721, 3709, 1710, 437, 9989, 4586, 6608, 264, 191, 319, 5274, 4574, 8360, 407, 293, 50, 2011, 2291, 367, 524, 193, 401, 180, 130, 48, 616, 2031, 453, 312, 1974, 1929, 293, 191, 2291, 367, 524, 193, 50, 668, 401, 277, 7549, 9801]"
19,"[2826, 2585, 743, 35, 2585, 4216, 2417, 1245, 47, 2045, 852, 47, 1150, 625, 389, 1224, 2321, 640, 2034, 1461, 486, 4316, 280, 909, 9169, 3929, 8563, 4432, 389, 1245, 35, 625, 346, 6222, 486, 852, 36, 9535, 526, 2034, 909, 31, 340, 1490, 389, 340, 852, 4344, 354, 520, 1053, 408, 707, 42, 354, 640, 1053, 4447, 1119, 1854, 3929, 3934, 5310, 3784, 5439, 57, 6216, 503, 730, 6632, 909, 42, 356, 4861, 341, 1150, 7812, 3410, 625, 5808, 2321, 373, 640, 3934, 730, 48, 3784, 7118, 31, 1049, 6776, 639, 1491, 7413, 526, 373, 2801, 2485, 156, 2659, 574, 54, 3112, 48, 1451, 1971, 6546, 340, 419, 3760, 35, 1545, 2485, 156, 2659, 255, 502, 156, 3005, 2906, 9873, 1036]"
20,"[2826, 2587, 745, 35, 2587, 4218, 2419, 1246, 47, 2044, 853, 47, 1181, 631, 392, 1226, 2391, 638, 2035, 1463, 488, 4315, 282, 910, 9168, 3931, 8565, 4549, 392, 1246, 35, 631, 349, 6221, 488, 853, 36, 9536, 525, 2035, 910, 31, 343, 1559, 392, 343, 853, 4345, 360, 519, 1054, 411, 709, 42, 360, 638, 1054, 4450, 1118, 1856, 3931, 3845, 5309, 3785, 5441, 57, 6214, 502, 729, 6895, 910, 42, 358, 4860, 342, 1181, 7813, 3409, 631, 5810, 2391, 376, 638, 3845, 729, 48, 3785, 7120, 31, 1051, 6774, 637, 1493, 7415, 525, 376, 1392, 2446, 158, 2658, 576, 54, 3114, 48, 1150, 282, 6280, 8391, 3005, 35, 1546, 2446, 158, 2658, 257, 259, 8773, 9650, 31, 3505, 1038]"
21,"[174, 676, 8143, 7507, 2983, 323, 611, 505, 3079, 468, 1374, 4492, 210, 611, 4049, 6842, 4049, 3244, 293, 7058, 5563, 2985, 860, 634, 2089, 9566, 5471, 450, 2166, 468, 523, 318, 497, 4507, 4042, 750, 1148, 634, 6450, 9530, 5074, 2635, 275, 5945, 6452, 2079, 611, 590, 1026, 1408, 676, 7826, 2755, 4307, 400, 430, 396, 1710, 366, 372, 4101, 6170, 400, 295, 1085, 372, 926, 366, 735, 4492, 4043, 2166, 497, 264, 7826, 4591, 6609, 676, 193, 7987, 475, 4846, 8845, 7645, 38, 2011, 2290, 366, 856, 363, 400, 179, 130, 36, 616, 2088, 473, 323, 2062, 1926, 517, 193, 2290, 366, 856, 363, 38, 668, 400, 273, 7550, 9802]"
22,"[174, 197, 8244, 7188, 992, 315, 464, 405, 2200, 422, 1159, 2722, 6686, 2835, 1711, 471, 2835, 1032, 8373, 457, 5561, 2970, 843, 288, 1994, 464, 276, 4386, 296, 1723, 422, 8854, 442, 4172, 3024, 306, 1164, 288, 6188, 422, 4575, 447, 1342, 355, 6140, 5448, 1711, 464, 431, 1202, 1352, 197, 313, 3225, 2687, 2058, 1467, 506, 7600, 69, 718, 278, 3719, 3621, 402, 325, 1185, 278, 9402, 437, 2722, 3033, 1723, 442, 3701, 3225, 4587, 6611, 5765, 4559, 477, 3926, 8395, 436, 276, 62, 2011, 2624, 1913, 456, 191, 402, 225, 130, 60, 616, 2181, 454, 315, 1975, 1942, 5072, 2624, 1913, 456, 191, 62, 668, 402, 7334, 2053, 9799]"
23,"[174, 7571, 747, 7177, 1865, 9717, 2306, 1588, 2197, 355, 3868, 622, 2763, 4874, 2763, 5599, 8137, 5560, 2857, 851, 302, 1379, 1443, 313, 4280, 325, 2114, 1588, 315, 427, 612, 4879, 903, 319, 1863, 302, 2959, 871, 1281, 3467, 9066, 518, 292, 5275, 1200, 622, 506, 3227, 1420, 1861, 7803, 6142, 5543, 1186, 4304, 586, 734, 1544, 903, 225, 427, 1849, 3417, 160, 355, 1444, 4398, 355, 2253, 1011, 2114, 612, 752, 7803, 7545, 6602, 7275, 9598, 5417, 8513, 5077, 2011, 79, 4089, 457, 206, 1849, 78, 2220, 72, 616, 667, 903, 2959, 168, 3419, 5783, 4089, 457, 1017, 668, 1849, 7933, 2096, 9797]"
24,"[2826, 2586, 744, 35, 2586, 4217, 2418, 1247, 47, 2046, 854, 47, 1182, 632, 393, 1225, 2350, 642, 2036, 1462, 492, 4317, 281, 911, 9170, 3930, 8564, 4433, 393, 1247, 35, 632, 350, 6223, 492, 854, 36, 9537, 527, 2036, 911, 31, 347, 1560, 393, 347, 854, 4346, 361, 521, 1055, 413, 708, 42, 361, 642, 1055, 4448, 1120, 1855, 3930, 3935, 5311, 3786, 5440, 57, 6218, 507, 731, 6633, 911, 42, 357, 4862, 344, 1182, 7814, 3411, 632, 5812, 2350, 377, 642, 3935, 731, 48, 3786, 7119, 31, 1050, 6778, 641, 1492, 7417, 527, 377, 6926, 55, 2484, 157, 2660, 575, 54, 3113, 48, 1457, 1972, 6281, 8392, 3758, 35, 1547, 2484, 157, 2660, 256, 1605, 57, 157, 7914, 2904, 9874, 1037]"
25,"[2826, 2588, 746, 35, 2588, 4219, 2420, 1248, 47, 2047, 855, 47, 1183, 633, 394, 1227, 2351, 644, 2037, 1464, 493, 4318, 283, 912, 9171, 3932, 8566, 4434, 394, 1248, 35, 633, 351, 6224, 493, 855, 36, 9538, 528, 2037, 912, 31, 348, 1561, 394, 348, 855, 4347, 362, 522, 1056, 414, 710, 42, 362, 644, 1056, 4452, 1121, 1857, 3932, 3936, 5312, 3787, 5442, 57, 6220, 508, 732, 6634, 912, 42, 359, 4863, 345, 1183, 7815, 3412, 633, 5813, 2351, 378, 644, 3936, 732, 48, 3787, 7121, 31, 1052, 6780, 643, 1494, 7419, 528, 378, 6927, 55, 2486, 159, 2661, 577, 54, 3115, 48, 1458, 1973, 6282, 8393, 3759, 35, 1548, 2486, 159, 2661, 258, 1606, 57, 159, 7915, 2905, 9875, 1039]"
26,"[174, 5926, 289, 5875, 2190, 985, 459, 5498, 6813, 1330, 7311, 1901, 289, 2928, 8913, 316, 4300, 323, 6577, 472, 314, 1275, 471, 1142, 279, 1275, 2317, 4104, 4044, 5781, 3513, 7267, 472, 3513, 7267, 1122, 295, 199, 7267, 524, 8811, 327, 3606, 8149, 1024, 3357, 3452, 5650, 6412, 459, 475, 3378, 7267, 497, 5871, 1399, 2176, 279, 3328, 456, 296, 7308, 289, 4958, 4632, 875, 3006, 4384, 5964, 4180, 288, 930, 2772, 9853, 7057, 1722, 62, 4116, 6706, 9342, 975, 7990, 3575, 1800, 1819, 7982, 437, 6565, 3316, 4027, 1028, 6613, 975, 7753, 3006, 6844, 192, 1193, 768, 1500, 9524, 1078, 3941, 1168, 2875, 1801, 496, 466, 189, 9933, 429, 319, 5747, 6292, 2433, 326, 191, 2878, 524, 7305, 2878, 566, 289, 3667, 2190, 188, 2749, 1502, 226, 290, 205, 4114, 8811, 327, 3606, 8149, 1024, 3357, 9377, 4114, 5871, 6025, 201, 3182, 3346, 915, 5080, 1293, 3172, 188, 438, 5785, 2239, 2064, 4113, 212, 46, 668, 499, 7606, 2050, 986, 1500, 172]"
27,"[1536, 1659, 2533, 6852, 1665, 2337, 761, 5368, 7153, 41, 1636, 1545, 3548, 7999, 681, 514, 375, 573, 827, 538, 3797, 761, 2992, 8408, 685, 38, 1818, 8408, 9770, 8408, 1219, 43, 6234, 389, 8818, 2992, 389, 8818, 39, 1244, 476, 8818, 1968, 6434, 2817, 56, 510, 1577, 1392, 7499, 1845, 685, 44, 3876, 243, 761, 3755, 476, 8818, 5368, 3186, 2422, 41, 381, 44, 409, 761, 48, 2295, 409, 823, 5371, 408, 673, 1149, 1282, 3674, 4263, 375, 685, 3684, 737, 1421, 5704, 9222, 4349, 1980, 487, 509, 352, 63, 1451, 41, 1273, 534, 365, 707, 2394, 2215, 51, 4861, 606, 5692, 3347, 39, 5228, 1452, 5901, 1195, 41, 1273, 1504, 3674, 8248, 44, 7760, 46, 1659, 2328, 918, 1081, 6531, 1818, 234, 409, 3794, 156, 53, 7061, 536, 156, 3915, 2128, 32, 5163, 2489, 9877, 7976, 2659, 373, 7976, 34, 510, 5085, 2222, 9971, 354, 365, 2222, 1943, 1735, 234, 681, 4998, 606, 6434, 2817, 56, 510, 1577, 1392, 7499, 2897, 409, 4998, 510, 3186, 8958, 568, 235, 7040, 51, 7696, 5866, 1349, 308, 1427, 918, 408, 482, 2773, 3255, 9367, 334, 383, 156, 1952, 3827, 39, 3728, 1036]"
28,"[1536, 1661, 2535, 6853, 1664, 2338, 763, 5367, 7154, 41, 1701, 1546, 3550, 7622, 689, 513, 383, 571, 822, 537, 3798, 763, 2991, 412, 369, 687, 38, 1887, 412, 369, 9772, 412, 369, 1218, 43, 6235, 392, 8822, 2991, 392, 8822, 39, 1276, 478, 8822, 1967, 6436, 2816, 56, 509, 1579, 1410, 7501, 1847, 687, 44, 3875, 245, 763, 3754, 478, 8822, 5367, 3188, 2614, 41, 374, 44, 412, 763, 48, 2294, 412, 824, 5372, 411, 672, 1153, 1297, 3676, 4264, 383, 687, 3910, 736, 1422, 5706, 9223, 4348, 1981, 490, 2280, 982, 63, 1233, 1290, 536, 369, 709, 2093, 1952, 51, 4860, 604, 5694, 3349, 39, 5230, 1454, 5903, 1197, 41, 1290, 1516, 3676, 8250, 44, 7762, 46, 1661, 2327, 917, 1083, 6261, 1887, 238, 412, 3792, 7253, 7060, 284, 9370, 8505, 32, 5165, 2491, 9878, 7978, 2658, 376, 7978, 34, 509, 5087, 2225, 9973, 360, 369, 2225, 1958, 1808, 238, 689, 5000, 604, 6436, 2816, 56, 509, 1579, 1410, 7501, 3156, 412, 5000, 509, 3188, 8960, 567, 241, 7646, 51, 7695, 5867, 1389, 310, 1428, 917, 411, 481, 2774, 3080, 9371, 336, 235, 4451, 982, 3911, 39, 3730, 1038]"
